//============================================================
//  OpenMU Season 6 — Item.txt LOOKUP (no es el Item.txt de MuEmu)
//
//  OpenMU NO lee este archivo. Editarlo NO cambia daño, nombre
//  ni drops del server. El catálogo vive en ItemDefinition (DB).
//
//  Usalo solo para /make:  group = sección,  number = Index
//  Ejemplo: Kris = group 0 index 0            →  /make 0 0
//           Jewel of Bless = group 14 index 13 →  /make 14 13
//           Horn of Dinorant = group 13 index 3 →  /make 13 3
//
//  Extraído de Persistence.Initialization (Season 6 + heredado)
//============================================================

//=====================================
//  SWORDS
//=====================================
0
//Index	Name
0	"Kris"
1	"Short Sword"
2	"Rapier"
3	"Katache"
4	"Sword of Assassin"
5	"Blade"
6	"Gladius"
7	"Falchion"
8	"Serpent Sword"
9	"Sword of Salamander"
10	"Light Saber"
11	"Legendary Sword"
12	"Heliacal Sword"
13	"Double Blade"
14	"Lighting Sword"
15	"Giant Sword"
16	"Sword of Destruction"
17	"Dark Breaker"
18	"Thunder Blade"
19	"Divine Sword of Archangel"
20	"Knight Blade"
21	"Dark Reign Blade"
22	"Bone Blade"
23	"Explosion Blade"
24	"Daybreak"
25	"Sword Dancer"
26	"Flamberge"
27	"Sword Breaker"
28	"Imperial Sword"
31	"Rune Blade"
32	"Sacred Glove"
33	"Storm Hard Glove"
34	"Piercing Blade Glove"
35	"Phoenix Soul Star"
end

//=====================================
//  AXES
//=====================================
1
//Index	Name
0	"Small Axe"
1	"Hand Axe"
2	"Double Axe"
3	"Tomahawk"
4	"Elven Axe"
5	"Battle Axe"
6	"Nikkea Axe"
7	"Larkan Axe"
8	"Crescent Axe"
end

//=====================================
//  MACES / SCEPTERS
//=====================================
2
//Index	Name
0	"Mace"
1	"Morning Star"
2	"Flail"
3	"Great Hammer"
4	"Crystal Morning Star"
5	"Crystal Sword"
6	"Chaos Dragon Axe"
7	"Elemental Mace"
8	"Battle Scepter"
9	"Master Scepter"
10	"Great Scepter"
11	"Lord Scepter"
12	"Great Lord Scepter"
13	"Divine Scepter of Archangel"
14	"Soleil Scepter"
15	"Shining Scepter"
16	"Frost Mace"
17	"Absolute Scepter"
18	"Stryker Scepter"
end

//=====================================
//  SPEARS
//=====================================
3
//Index	Name
0	"Light Spear"
1	"Spear"
2	"Dragon Lance"
3	"Giant Trident"
4	"Serpent Spear"
5	"Double Poleaxe"
6	"Halberd"
7	"Berdysh"
8	"Great Scythe"
9	"Bill of Balrog"
10	"Dragon Spear"
11	"Beuroba"
end

//=====================================
//  BOWS / CROSSBOWS
//=====================================
4
//Index	Name
0	"Short Bow"
1	"Bow"
2	"Elven Bow"
3	"Battle Bow"
4	"Tiger Bow"
5	"Silver Bow"
6	"Chaos Nature Bow"
7	"Bolt"
8	"Crossbow"
9	"Golden Crossbow"
10	"Arquebus"
11	"Light Crossbow"
12	"Serpent Crossbow"
13	"Bluewing Crossbow"
14	"Aquagold Crossbow"
15	"Arrows"
16	"Saint Crossbow"
17	"Celestial Bow"
18	"Divine Crossbow of Archangel"
19	"Great Reign Crossbow"
20	"Arrow Viper Bow"
21	"Sylph Wind Bow"
22	"Albatross Bow"
23	"Stinger Bow"
24	"Air Lyn Bow"
end

//=====================================
//  STAFFS
//=====================================
5
//Index	Name
0	"Skull Staff"
1	"Angelic Staff"
2	"Serpent Staff"
3	"Thunder Staff"
4	"Gorgon Staff"
5	"Legendary Staff"
6	"Staff of Resurrection"
7	"Chaos Lightning Staff"
8	"Staff of Destruction"
9	"Dragon Soul Staff"
10	"Divine Staff of Archangel"
11	"Staff of Kundun"
12	"Grand Viper Staff"
13	"Platina Staff"
14	"Mistery Stick"
15	"Violent Wind Stick"
16	"Red Wing Stick"
17	"Ancient Stick"
18	"Demonic Stick"
19	"Storm Blitz Stick"
20	"Eternal Wing Stick"
21	"Book of Sahamutt"
22	"Book of Neil"
23	"Book of Lagle"
30	"Deadly Staff"
31	"Imperial Staff"
32	"Soul Bringer Stick"
33	"Chromatic Staff"
34	"Raven Stick"
36	"Divine Stick of Archangel"
end

//=====================================
//  SHIELDS
//=====================================
6
//Index	Name
0	"Small Shield"
1	"Horn Shield"
2	"Kite Shield"
3	"Elven Shield"
4	"Buckler"
5	"Dragon Slayer Shield"
6	"Skull Shield"
7	"Spiked Shield"
8	"Tower Shield"
9	"Plate Shield"
10	"Big Round Shield"
11	"Serpent Shield"
12	"Bronze Shield"
13	"Dragon Shield"
14	"Legendary Shield"
15	"Grand Soul Shield"
16	"Elemental Shield"
17	"Crimson Glory"
18	"Salamander Shield"
19	"Frost Barrier"
20	"Guardian Shield"
21	"Cross Shield"
end

//=====================================
//  HELMS
//=====================================
7
//Index	Name
0	"Bronze Helm"
1	"Dragon Helm"
2	"Pad Helm"
3	"Legendary Helm"
4	"Bone Helm"
5	"Leather Helm"
6	"Scale Helm"
7	"Sphinx Mask"
8	"Brass Helm"
9	"Plate Helm"
10	"Vine Helm"
11	"Silk Helm"
12	"Wind Helm"
13	"Spirit Helm"
14	"Guardian Helm"
16	"Black Dragon Helm"
17	"Dark Phoenix Helm"
18	"Grand Soul Helm"
19	"Divine Helm"
21	"Great Dragon Helm"
22	"Dark Soul Helm"
24	"Red Spirit Helm"
25	"Light Plate Mask"
26	"Adamantine Mask"
27	"Dark Steel Mask"
28	"Dark Master Mask"
29	"Dragon Knight Helm"
30	"Venom Mist Helm"
31	"Sylphid Ray Helm"
33	"Sunlight Mask"
34	"Ashcrow Helm"
35	"Eclipse Helm"
36	"Iris Helm"
38	"Glorious Mask"
39	"Mistery Helm"
40	"Red Wing Helm"
41	"Ancient Helm"
42	"Black Rose Helm"
43	"Aura Helm"
44	"Lilium Helm"
45	"Titan Helm"
46	"Brave Helm"
49	"Seraphim Helm"
50	"Faith Helm"
51	"Paewang Mask"
52	"Hades Helm"
53	"Queen Helm"
59	"Sacred Helm"
60	"Storm Hard Helm"
61	"Piercing Helm"
62	"Lucky Scale Helm"
63	"Lucky Silk Helm"
64	"Lucky Sphinx Helm"
65	"Lucky Violent Wind Helm"
66	"Lucky Dark Soul Helm"
67	"Lucky Dragon Helm"
68	"Lucky Guardian Helm"
69	"Lucky Legendary Helm"
70	"Lucky Red Wing Helm"
72	"Lucky Storm Jahad Helm"
73	"Phoenix Soul Helmet"
end

//=====================================
//  ARMORS
//=====================================
8
//Index	Name
0	"Bronze Armor"
1	"Dragon Armor"
2	"Pad Armor"
3	"Legendary Armor"
4	"Bone Armor"
5	"Leather Armor"
6	"Scale Armor"
7	"Sphinx Armor"
8	"Brass Armor"
9	"Plate Armor"
10	"Vine Armor"
11	"Silk Armor"
12	"Wind Armor"
13	"Spirit Armor"
14	"Guardian Armor"
15	"Storm Crow Armor"
16	"Black Dragon Armor"
17	"Dark Phoenix Armor"
18	"Grand Soul Armor"
19	"Divine Armor"
20	"Thunder Hawk Armor"
21	"Great Dragon Armor"
22	"Dark Soul Armor"
23	"Hurricane Armor"
24	"Red Sprit Armor"
25	"Light Plate Armor"
26	"Adamantine Armor"
27	"Dark Steel Armor"
28	"Dark Master Armor"
29	"Dragon Knight Armor"
30	"Venom Mist Armor"
31	"Sylphid Ray Armor"
32	"Volcano Armor"
33	"Sunlight Armor"
34	"Ashcrow Armor"
35	"Eclipse Armor"
36	"Iris Armor"
37	"Valiant Armor"
38	"Glorious Armor"
39	"Mistery Armor"
40	"Red Wing Armor"
41	"Ancient Armor"
42	"Black Rose Armor"
43	"Aura Armor"
44	"Lilium Armor"
45	"Titan Armor"
46	"Brave Armor"
47	"Destory Armor"
48	"Phantom Armor"
49	"Seraphim Armor"
50	"Faith Armor"
51	"Paewang Armor"
52	"Hades Armor"
53	"Queen Armor"
59	"Sacred Armor"
60	"Storm Hard Armor"
61	"Piercing Armor"
62	"Lucky Scale Armor"
63	"Lucky Silk Armor"
64	"Lucky Sphinx Armor"
65	"Lucky Violent Wind Armor"
66	"Lucky Dark Soul Armor"
67	"Lucky Dragon Armor"
68	"Lucky Guardian Armor"
69	"Lucky Legendary Armor"
70	"Lucky Red Wing Armor"
71	"Lucky Atlans Armor"
72	"Lucky Storm Jahad Armor"
73	"Phoenix Soul Armor"
end

//=====================================
//  PANTS
//=====================================
9
//Index	Name
0	"Bronze Pants"
1	"Dragon Pants"
2	"Pad Pants"
3	"Legendary Pants"
4	"Bone Pants"
5	"Leather Pants"
6	"Scale Pants"
7	"Sphinx Pants"
8	"Brass Pants"
9	"Plate Pants"
10	"Vine Pants"
11	"Silk Pants"
12	"Wind Pants"
13	"Spirit Pants"
14	"Guardian Pants"
15	"Storm Crow Pants"
16	"Black Dragon Pants"
17	"Dark Phoenix Pants"
18	"Grand Soul Pants"
19	"Divine Pants"
20	"Thunder Hawk Pants"
21	"Great Dragon Pants"
22	"Dark Soul Pants"
23	"Hurricane Pants"
24	"Red Spirit Pants"
25	"Light Plate Pants"
26	"Adamantine Pants"
27	"Dark Steel Pants"
28	"Dark Master Pants"
29	"Dragon Knight Pants"
30	"Venom Mist Pants"
31	"Sylphid Ray Pants"
32	"Volcano Pants"
33	"Sunlight Pants"
34	"Ashcrow Pants"
35	"Eclipse Pants"
36	"Iris Pants"
37	"Valiant Pants"
38	"Glorious Pants"
39	"Mistery Pants"
40	"Red Wing Pants"
41	"Ancient Pants"
42	"Black Rose Pants"
43	"Aura Pants"
44	"Lilium Pants"
45	"Titan Pants"
46	"Brave Pants"
47	"Destory Pants"
48	"Phantom Pants"
49	"Seraphim Pants"
50	"Faith Pants"
51	"Paewang Pants"
52	"Hades Pants"
53	"Queen Pants"
59	"Sacred Pants"
60	"Storm Hard Pants"
61	"Piercing Pants"
62	"Lucky Scale Pants"
63	"Lucky Silk Pants"
64	"Lucky Sphinx Pants"
65	"Lucky Violent Wind Pants"
66	"Lucky Dark Soul Pants"
67	"Lucky Dragon Pants"
68	"Lucky Guardian Pants"
69	"Lucky Legendary Pants"
70	"Lucky Red Wing Pants"
71	"Lucky Atlans Pants"
72	"Lucky Storm Jahad Pants"
73	"Phoenix Soul Pants"
end

//=====================================
//  GLOVES
//=====================================
10
//Index	Name
0	"Bronze Gloves"
1	"Dragon Gloves"
2	"Pad Gloves"
3	"Legendary Gloves"
4	"Bone Gloves"
5	"Leather Gloves"
6	"Scale Gloves"
7	"Sphinx Gloves"
8	"Brass Gloves"
9	"Plate Gloves"
10	"Vine Gloves"
11	"Silk Gloves"
12	"Wind Gloves"
13	"Spirit Gloves"
14	"Guardian Gloves"
15	"Storm Crow Gloves"
16	"Black Dragon Gloves"
17	"Dark Phoenix Gloves"
18	"Grand Soul Gloves"
19	"Divine Gloves"
20	"Thunder Hawk Gloves"
21	"Great Dragon Gloves"
22	"Dark Soul Gloves"
23	"Hurricane Gloves"
24	"Red Spirit Gloves"
25	"Light Plate Gloves"
26	"Adamantine Gloves"
27	"Dark Steel Gloves"
28	"Dark Master Gloves"
29	"Dragon Knight Gloves"
30	"Venom Mist Gloves"
31	"Sylphid Ray Gloves"
32	"Volcano Gloves"
33	"Sunlight Gloves"
34	"Ashcrow Gloves"
35	"Eclipse Gloves"
36	"Iris Gloves"
37	"Valiant Gloves"
38	"Glorious Gloves"
39	"Mistery Gloves"
40	"Red Wing Gloves"
41	"Ancient Gloves"
42	"Black Rose Gloves"
43	"Aura Gloves"
44	"Lilium Gloves"
45	"Titan Gloves"
46	"Brave Gloves"
47	"Destroy Gloves"
48	"Phantom Gloves"
49	"Seraphim Gloves"
50	"Faith Gloves"
51	"Paewang Gloves"
52	"Hades Gloves"
53	"Queen Gloves"
62	"Lucky Scale Gloves"
63	"Lucky Silk Gloves"
64	"Lucky Sphinx Gloves"
65	"Lucky Violent Wind Gloves"
66	"Lucky Dark Soul Gloves"
67	"Lucky Dragon Gloves"
68	"Lucky Guardian Gloves"
69	"Lucky Legendary Gloves"
70	"Lucky Red Wing Gloves"
71	"Lucky Atlans Gloves"
end

//=====================================
//  BOOTS
//=====================================
11
//Index	Name
0	"Bronze Boots"
1	"Dragon Boots"
2	"Pad Boots"
3	"Legendary Boots"
4	"Bone Boots"
5	"Leather Boots"
6	"Scale Boots"
7	"Sphinx Boots"
8	"Brass Boots"
9	"Plate Boots"
10	"Vine Boots"
11	"Silk Boots"
12	"Wind Boots"
13	"Spirit Boots"
14	"Guardian Boots"
15	"Storm Crow Boots"
16	"Black Dragon Boots"
17	"Dark Phoenix Boots"
18	"Grand Soul Boots"
19	"Divine Boots"
20	"Thunder Hawk Boots"
21	"Great Dragon Boots"
22	"Dark Soul Boots"
23	"Hurricane Boots"
24	"Red Spirit Boots"
25	"Light Plate Boots"
26	"Adamantine Boots"
27	"Dark Steel Boots"
28	"Dark Master Boots"
29	"Dragon Knight Boots"
30	"Venom Mist Boots"
31	"Sylphid Ray Boots"
32	"Volcano Boots"
33	"Sunlight Boots"
34	"Ashcrow Boots"
35	"Eclipse Boots"
36	"Iris Boots"
37	"Valiant Boots"
38	"Glorious Boots"
39	"Mistery Boots"
40	"Red Wing Boots"
41	"Ancient Boots"
42	"Black Rose Boots"
43	"Aura Boots"
44	"Lilium Boots"
45	"Titan Boots"
46	"Brave Boots"
47	"Destory Boots"
48	"Phantom Boots"
49	"Seraphim Boots"
50	"Faith Boots"
51	"Phaewang Boots"
52	"Hades Boots"
53	"Queen Boots"
59	"Sacred Boots"
60	"Storm Hard Boots"
